problem	cat	numsurveys	numrespondents	perc	year	month	quarter
12	1	0	0	.1145	1939	7	3
13	1	0	0	2.1109999	1939	7	3
14	1	0	0	.115	1939	7	3
15	1	0	0	.73650002	1939	7	3
1	6	0	0	40.306499	1939	7	3
2	6	0	0	.163	1939	7	3
3	6	0	0	.0705	1939	7	3
4	6	0	0	1.678	1939	7	3
5	6	0	0	.1145	1939	7	3
6	6	0	0	.164	1939	7	3
7	6	0	0	0	1939	7	3
8	6	0	0	0	1939	7	3
9	6	0	0	.09	1939	7	3
10	6	0	0	.0165	1939	7	3
12	6	0	0	1.0325	1939	7	3
13	6	0	0	5.1034999	1939	7	3
14	6	0	0	.68199998	1939	7	3
15	6	0	0	.6525	1939	7	3
16	6	0	0	11.0205	1939	7	3
17	6	0	0	0	1939	7	3
18	6	0	0	.0655	1939	7	3
19	6	0	0	31.680999	1939	7	3
20	6	0	0	3.0189999	1939	7	3
21	6	0	0	0	1939	7	3
22	6	0	0	3.2895	1939	7	3
23	6	0	0	.115	1939	7	3
24	6	0	0	.73650002	1939	7	3
1	1	1	3049	30.837999	1939	10	4
2	1	1	3049	8.1169996	1939	10	4
3	1	1	3049	.066	1939	10	4
4	1	1	3049	.58499998	1939	10	4
5	1	1	3049	2.832	1939	10	4
6	1	1	3049	49.768002	1939	10	4
7	1	1	3049	.131	1939	10	4
8	1	1	3049	0	1939	10	4
9	1	1	3049	1.219	1939	10	4
10	1	1	3049	3.9189999	1939	10	4
11	1	1	3049	.23	1939	10	4
12	1	1	3049	.066	1939	10	4
13	1	1	3049	2.0009999	1939	10	4
14	1	1	3049	.23	1939	10	4
15	1	1	3049	0	1939	10	4
101	2	1	3049	1.312	1939	10	4
102	2	1	3049	21.958	1939	10	4
103	2	1	3049	.164	1939	10	4
104	2	1	3049	0	1939	10	4
105	2	1	3049	2.132	1939	10	4
106	2	1	3049	.60699999	1939	10	4
107	2	1	3049	.58200002	1939	10	4
108	2	1	3049	.131	1939	10	4
109	2	1	3049	.83600003	1939	10	4
110	2	1	3049	3.1159999	1939	10	4
201	2	1	3049	.26199999	1939	10	4
202	2	1	3049	2.073	1939	10	4
203	2	1	3049	.32800001	1939	10	4
204	2	1	3049	0	1939	10	4
205	2	1	3049	1.181	1939	10	4
206	2	1	3049	.033	1939	10	4
207	2	1	3049	3.099	1939	10	4
208	2	1	3049	.39399999	1939	10	4
209	2	1	3049	.098	1939	10	4
210	2	1	3049	0	1939	10	4
211	2	1	3049	.64899999	1939	10	4
212	2	1	3049	0	1939	10	4
213	2	1	3049	0	1939	10	4
214	2	1	3049	0	1939	10	4
215	2	1	3049	0	1939	10	4
216	2	1	3049	0	1939	10	4
217	2	1	3049	0	1939	10	4
301	2	1	3049	0	1939	10	4
302	2	1	3049	0	1939	10	4
304	2	1	3049	0	1939	10	4
306	2	1	3049	0	1939	10	4
307	2	1	3049	0	1939	10	4
308	2	1	3049	0	1939	10	4
309	2	1	3049	.066	1939	10	4
310	2	1	3049	0	1939	10	4
401	2	1	3049	.197	1939	10	4
402	2	1	3049	0	1939	10	4
403	2	1	3049	0	1939	10	4
404	2	1	3049	0	1939	10	4
405	2	1	3049	.011	1939	10	4
406	2	1	3049	0	1939	10	4
407	2	1	3049	.377	1939	10	4
501	2	1	3049	.68900001	1939	10	4
502	2	1	3049	.68900001	1939	10	4
503	2	1	3049	0	1939	10	4
504	2	1	3049	.27900001	1939	10	4
505	2	1	3049	0	1939	10	4
506	2	1	3049	.175	1939	10	4
507	2	1	3049	0	1939	10	4
508	2	1	3049	.91799998	1939	10	4
509	2	1	3049	.082	1939	10	4
601	2	1	3049	39.460999	1939	10	4
602	2	1	3049	.34999999	1939	10	4
603	2	1	3049	0	1939	10	4
604	2	1	3049	0	1939	10	4
605	2	1	3049	9.8579998	1939	10	4
606	2	1	3049	0	1939	10	4
608	2	1	3049	0	1939	10	4
609	2	1	3049	0	1939	10	4
610	2	1	3049	0	1939	10	4
611	2	1	3049	.098	1939	10	4
701	2	1	3049	0	1939	10	4
702	2	1	3049	.131	1939	10	4
703	2	1	3049	0	1939	10	4
704	2	1	3049	0	1939	10	4
705	2	1	3049	0	1939	10	4
801	2	1	3049	0	1939	10	4
802	2	1	3049	0	1939	10	4
803	2	1	3049	0	1939	10	4
804	2	1	3049	0	1939	10	4
805	2	1	3049	0	1939	10	4
806	2	1	3049	0	1939	10	4
807	2	1	3049	0	1939	10	4
901	2	1	3049	.191	1939	10	4
902	2	1	3049	.011	1939	10	4
903	2	1	3049	1.017	1939	10	4
904	2	1	3049	0	1939	10	4
905	2	1	3049	0	1939	10	4
906	2	1	3049	0	1939	10	4
908	2	1	3049	0	1939	10	4
1001	2	1	3049	.26199999	1939	10	4
1002	2	1	3049	0	1939	10	4
1003	2	1	3049	0	1939	10	4
1004	2	1	3049	0	1939	10	4
1005	2	1	3049	0	1939	10	4
1006	2	1	3049	0	1939	10	4
1007	2	1	3049	0	1939	10	4
1008	2	1	3049	0	1939	10	4
1009	2	1	3049	0	1939	10	4
1010	2	1	3049	1.148	1939	10	4
1011	2	1	3049	1.886	1939	10	4
1012	2	1	3049	.62300003	1939	10	4
1101	2	1	3049	.23	1939	10	4
1102	2	1	3049	0	1939	10	4
1103	2	1	3049	0	1939	10	4
1104	2	1	3049	0	1939	10	4
1105	2	1	3049	0	1939	10	4
1106	2	1	3049	0	1939	10	4
1201	2	1	3049	.066	1939	10	4
1301	2	1	3049	.033	1939	10	4
1302	2	1	3049	1.9680001	1939	10	4
1401	2	1	3049	.23	1939	10	4
1501	2	1	3049	0	1939	10	4
101	3	1	3049	1.312	1939	10	4
102	3	1	3049	21.958	1939	10	4
103	3	1	3049	.164	1939	10	4
104	3	1	3049	0	1939	10	4
105	3	1	3049	2.132	1939	10	4
106	3	1	3049	.60699999	1939	10	4
107	3	1	3049	.58200002	1939	10	4
108	3	1	3049	.131	1939	10	4
109	3	1	3049	.83600003	1939	10	4
110	3	1	3049	3.1159999	1939	10	4
501	3	1	3049	.68900001	1939	10	4
502	3	1	3049	.68900001	1939	10	4
503	3	1	3049	0	1939	10	4
504	3	1	3049	.27900001	1939	10	4
505	3	1	3049	0	1939	10	4
